on_disk_filename,url_hash,original_filename,agency,part_number,is_dod,source_url,pdf_size_bytes
50b41ad81b81cce3_CFTC_RFO_Deviation_Part-33.pdf,50b41ad81b81cce3,CFTC_RFO_Deviation_Part-33.pdf,CFTC,33,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-33.pdf,320444
23988d974af3ee8c_CFTC_RFO_Deviation_Part-34.pdf,23988d974af3ee8c,CFTC_RFO_Deviation_Part-34.pdf,CFTC,34,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-34.pdf,310960
c7eb7b973703e8a7_CFTC_RFO_Deviation_Part-35.pdf,c7eb7b973703e8a7,CFTC_RFO_Deviation_Part-35.pdf,CFTC,35,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-35.pdf,312256
4ec5ed181cf2bd74_CFTC_RFO_Deviation_Part-36.pdf,4ec5ed181cf2bd74,CFTC_RFO_Deviation_Part-36.pdf,CFTC,36,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-36.pdf,298261
1926b5895a4c9abc_CFTC_RFO_Deviation_Part-37.pdf,1926b5895a4c9abc,CFTC_RFO_Deviation_Part-37.pdf,CFTC,37,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-37.pdf,340312
bdf174b036a8bdce_CFTC_RFO_Deviation_Part-38.pdf,bdf174b036a8bdce,CFTC_RFO_Deviation_Part-38.pdf,CFTC,38,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-38.pdf,286758
01d293919e74412b_CFTC_RFO_Deviation_Part-39.pdf,01d293919e74412b,CFTC_RFO_Deviation_Part-39.pdf,CFTC,39,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-39.pdf,299302
9c48b48f596b1950_CFTC_RFO_Deviation_Part-4.pdf,9c48b48f596b1950,CFTC_RFO_Deviation_Part-4.pdf,CFTC,4,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-4.pdf,370237
6a39b42e8bf53f77_CFTC_RFO_Deviation_Part-40.pdf,6a39b42e8bf53f77,CFTC_RFO_Deviation_Part-40.pdf,CFTC,40,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-40.pdf,359140
1192f66301389fdc_CFTC_RFO_Deviation_Part-41.pdf,1192f66301389fdc,CFTC_RFO_Deviation_Part-41.pdf,CFTC,41,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-41.pdf,290983
